starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 14 18:15:48 2023	1694704548	0	39	39	38
Thu Sep 14 18:15:54 2023	1694704554	0	39	39	38
Thu Sep 14 18:15:51 2023	1694704551	0	39	39	39
Thu Sep 14 18:15:56 2023	1694704556	0	39	39	39
Thu Sep 14 18:15:46 2023	1694704546	0	39	39	39
Thu Sep 14 18:15:45 2023	1694704545	1	38	39	38
Thu Sep 14 18:15:52 2023	1694704552	0	39	39	39
Thu Sep 14 18:15:44 2023	1694704544	1	39	39	39
Thu Sep 14 18:15:49 2023	1694704549	1	38	39	38
Thu Sep 14 18:15:56 2023	1694704556	0	39	39	39
Thu Sep 14 18:15:50 2023	1694704550	1	39	39	39
Thu Sep 14 18:15:52 2023	1694704552	1	38	39	38
Thu Sep 14 18:15:44 2023	1694704544	1	39	39	39
Thu Sep 14 18:15:48 2023	1694704548	0	39	39	36
Thu Sep 14 18:15:57 2023	1694704557	0	39	39	38
Thu Sep 14 18:15:50 2023	1694704550	1	39	40	39
Thu Sep 14 18:15:45 2023	1694704545	0	40	40	39
Thu Sep 14 18:15:45 2023	1694704545	1	39	40	39
Thu Sep 14 18:15:47 2023	1694704547	0	40	40	38
Thu Sep 14 18:15:48 2023	1694704548	1	39	40	39
Thu Sep 14 18:15:48 2023	1694704548	1	39	40	39
Thu Sep 14 18:15:48 2023	1694704548	1	39	40	39
Thu Sep 14 18:15:56 2023	1694704556	1	39	40	39
Thu Sep 14 18:15:55 2023	1694704555	0	40	40	40
Thu Sep 14 18:15:45 2023	1694704545	0	40	40	40
Thu Sep 14 18:15:45 2023	1694704545	1	39	40	39
Thu Sep 14 18:15:45 2023	1694704545	0	40	40	40
Thu Sep 14 18:15:47 2023	1694704547	0	40	40	40
Thu Sep 14 18:15:54 2023	1694704554	1	40	40	40
Thu Sep 14 18:15:48 2023	1694704548	0	40	40	39
Thu Sep 14 18:15:46 2023	1694704546	0	40	40	40
Thu Sep 14 18:15:50 2023	1694704550	1	39	40	39
Thu Sep 14 18:15:55 2023	1694704555	0	40	40	40
Thu Sep 14 18:15:46 2023	1694704546	1	40	40	40
Thu Sep 14 18:15:55 2023	1694704555	0	40	40	40
Thu Sep 14 18:15:54 2023	1694704554	0	40	40	40
Thu Sep 14 18:15:50 2023	1694704550	1	39	40	39
Thu Sep 14 18:15:50 2023	1694704550	0	40	40	36
Thu Sep 14 18:15:45 2023	1694704545	1	40	40	40
Thu Sep 14 18:15:49 2023	1694704549	0	40	40	40
Thu Sep 14 18:15:48 2023	1694704548	1	40	40	39
Thu Sep 14 18:15:53 2023	1694704553	1	40	41	40
Thu Sep 14 18:15:53 2023	1694704553	0	41	41	41
Thu Sep 14 18:15:56 2023	1694704556	0	40	41	35
Thu Sep 14 18:15:51 2023	1694704551	0	41	41	41
Thu Sep 14 18:15:55 2023	1694704555	0	41	41	41
Thu Sep 14 18:15:45 2023	1694704545	1	40	41	40
Thu Sep 14 18:15:55 2023	1694704555	1	40	41	40
Thu Sep 14 18:15:52 2023	1694704552	1	40	41	38
Thu Sep 14 18:15:50 2023	1694704550	1	40	41	40
Thu Sep 14 18:15:53 2023	1694704553	0	41	41	41
Thu Sep 14 18:15:56 2023	1694704556	0	41	41	40
Thu Sep 14 18:15:56 2023	1694704556	0	41	41	41
Thu Sep 14 18:15:57 2023	1694704557	1	40	41	40
Thu Sep 14 18:15:45 2023	1694704545	1	41	41	40
Thu Sep 14 18:15:48 2023	1694704548	0	41	41	41
Thu Sep 14 18:15:46 2023	1694704546	0	41	41	41
Thu Sep 14 18:15:46 2023	1694704546	1	40	41	40
Thu Sep 14 18:15:50 2023	1694704550	0	41	41	41
Thu Sep 14 18:15:50 2023	1694704550	1	41	41	41
Thu Sep 14 18:15:44 2023	1694704544	0	41	41	41
Thu Sep 14 18:15:47 2023	1694704547	0	41	42	41
Thu Sep 14 18:15:56 2023	1694704556	0	42	42	42
Thu Sep 14 18:15:47 2023	1694704547	0	42	42	41
Thu Sep 14 18:15:56 2023	1694704556	0	42	42	40
Thu Sep 14 18:15:54 2023	1694704554	0	42	42	41
